warehouse_id,product_id,stock_level,reorder_level,avg_daily_sales,days_until_reorder
W000_053,PID1053,107,22,76,1.4
W000_054,PID1054,fifteen,92,14,1.9
W000_055,PID1055,fifteen,82,43,1.8
W000_056,PID1056,35,51,29,1.2
W000_057,PID1057,55,81,41,1.3
W000_058,PID1058,66,88,43,1.5
W000_059,PID1059,91,25,72,1.3
W000_060,PID1060,,46,94,1.3
W000_061,PID1061,74,72,41,1.8
W000_062,PID1062,103,39,86,1.2
W000_063,PID1063,101,93,76,1.3
W000_064,PID1064,69,65,42,1.6
W000_065,PID1065,81,92,43,1.9
W000_066,PID1066,-79,73,97,1.5
W000_067,PID1067,-22,24,27,1.5
W000_068,PID1068,48,58,26,1.8
W000_069,PID1069,51,47,36,1.4
W000_070,PID1070,19,26,12,1.6
W000_071,PID1071,22,100,16,1.4
W000_072,PID1072,153,46,85,1.8
W000_073,PID1073,92,43,63,1.5
W000_074,PID1074,38,99,28,1.4
W000_075,PID1075,18,28,14,1.3
W000_076,PID1076,54,35,34,1.6
W000_077,PID1077,97,91,67,1.4
W000_078,PID1078,56,91,45,1.2
W000_079,PID1079,69,20,54,1.3
W000_080,PID1080,74,84,55,1.3
W000_081,PID1081,107,60,78,1.4
W000_082,PID1082,67,69,34,2.0
W000_083,PID1083,153,29,77,2.0
W000_084,PID1084,22,92,18,1.2
W000_085,PID1085,128,57,72,1.8
W000_086,PID1086,94,73,76,1.2
W000_087,PID1087,125,75,70,1.8
W000_088,PID1088,91,60,68,1.3
W000_089,PID1089,30,53,18,1.7
W000_090,PID1090,72,39,56,1.3
W000_091,PID1091,-89,71,77,1.9
W000_092,PID1092,27,79,15,1.8
W000_093,PID1093,-6,79,55,1.6
W000_094,PID1094,140,49,94,1.5
W000_095,PID1095,103,97,66,1.6
W000_096,PID1096,75,57,56,1.3
W000_097,PID1097,48,51,27,1.8
W000_098,PID1098,140,45,72,1.9
W000_099,PID1099,146,79,77,1.9
W001_000,PID1000,99,41,53,1.9
W001_001,PID1001,one hundred,68,20,1.5
W001_002,PID1002,ten,26,42,1.8
W001_003,PID1003,one hundred,32,93,1.2
W001_004,PID1004,109,99,88,1.2
W001_005,PID1005,107,91,87,1.2
W001_006,PID1006,139,40,72,1.9
W001_007,PID1007,106,93,87,1.2
W001_008,PID1008,100,88,78,1.3
W001_009,PID1009,49,62,32,1.5
W001_010,PID1010,67,83,44,1.5
W001_011,PID1011,twenty,89,51,1.2
W001_012,PID1012,twenty,51,37,1.7
W001_013,PID1013,191,78,100,1.9
W001_014,PID1014,117,69,68,1.7
W001_015,PID1015,-36,83,79,1.5
W001_016,PID1016,twenty,80,23,1.7
W001_017,PID1017,39,57,26,1.5
W001_018,PID1018,,59,82,1.5
W001_019,PID1019,69,43,38,1.8
W001_020,PID1020,114,32,68,1.7
W001_021,PID1021,88,67,66,1.3
W001_022,PID1022,-29,94,66,1.6
W001_023,PID1023,twenty,29,49,1.3
W001_024,PID1024,27,35,20,1.4
W001_025,PID1025,77,58,54,1.4
W001_026,PID1026,48,43,30,1.6
W001_027,PID1027,18,79,12,1.5
W001_028,PID1028,57,33,33,1.7
W001_029,PID1029,64,34,33,1.9
W001_030,PID1030,96,71,77,1.2
W001_031,PID1031,120,31,89,1.3
W001_032,PID1032,169,71,87,1.9
W001_033,PID1033,143,45,76,1.9
W001_034,PID1034,110,32,82,1.3
W001_035,PID1035,106,94,74,1.4
W001_036,PID1036,102,22,84,1.2
W001_037,PID1037,-92,88,25,1.4
W001_038,PID1038,149,45,87,1.7
W001_039,PID1039,56,57,37,1.5
W001_040,PID1040,89,82,58,1.5
W001_041,PID1041,-97,91,39,1.4
W001_042,PID1042,19,46,13,1.5
W001_043,PID1043,fifteen,42,37,1.8
W001_044,PID1044,93,68,58,1.6
W001_045,PID1045,42,83,24,1.8
W001_046,PID1046,44,37,26,1.7
W001_047,PID1047,,45,61,1.2
W001_048,PID1048,150,45,79,1.9
W001_049,PID1049,fifty,62,92,1.8
W001_050,PID1050,54,24,33,1.6
W001_051,PID1051,118,87,93,1.3
W001_052,PID1052,164,97,94,1.7
W001_053,PID1053,44,73,26,1.7
W001_054,PID1054,87,72,47,1.9
W001_055,PID1055,152,55,95,1.6
W001_056,PID1056,,24,97,1.4
W001_057,PID1057,90,82,62,1.5
W001_058,PID1058,34,68,18,1.9
W001_059,PID1059,33,40,22,1.5
W001_060,PID1060,133,56,69,1.9
W001_061,PID1061,137,38,73,1.9
W001_062,PID1062,125,57,71,1.8
W001_063,PID1063,121,55,71,1.7
W001_064,PID1064,91,27,53,1.7
W001_065,PID1065,148,67,76,1.9
W001_066,PID1066,51,34,37,1.4
W001_067,PID1067,50,93,28,1.8
W001_068,PID1068,44,46,25,1.8
W001_069,PID1069,93,86,52,1.8
W001_070,PID1070,83,57,59,1.4
W001_071,PID1071,100,38,80,1.2
W001_072,PID1072,138,40,85,1.6
W001_073,PID1073,83,31,58,1.4
W001_074,PID1074,85,79,44,1.9
W001_075,PID1075,156,55,87,1.8
W001_076,PID1076,75,26,46,1.6
W001_077,PID1077,ten,57,34,1.8
W001_078,PID1078,40,32,23,1.7
W001_079,PID1079,151,75,89,1.7
W001_080,PID1080,21,73,12,1.8
W001_081,PID1081,32,44,18,1.8
W001_082,PID1082,141,96,79,1.8
W001_083,PID1083,twenty,36,28,1.8
W001_084,PID1084,twenty,27,21,1.4
W001_085,PID1085,73,73,38,1.9
W001_086,PID1086,190,22,97,2.0
W001_087,PID1087,36,35,20,1.8
W001_088,PID1088,146,84,79,1.8
W001_089,PID1089,33,41,27,1.2
W001_090,PID1090,66,59,50,1.3
W001_091,PID1091,82,74,65,1.3
W001_092,PID1092,-19,41,86,1.8
W001_093,PID1093,55,72,34,1.6
W001_094,PID1094,152,27,87,1.7
W001_095,PID1095,51,36,35,1.5
W001_096,PID1096,fifty,26,91,1.6
W001_097,PID1097,86,89,67,1.3
W001_098,PID1098,fifty,82,98,1.4
W001_099,PID1099,fifty,35,40,1.7
W002_000,PID1000,36,82,20,1.8
W002_001,PID1001,21,86,12,1.8
W002_002,PID1002,54,56,41,1.3
W002_003,PID1003,one hundred,76,61,1.4
W002_004,PID1004,65,83,38,1.7
W002_005,PID1005,81,46,43,1.9
W002_006,PID1006,,62,50,1.6
W002_007,PID1007,-98,29,21,1.8
W002_008,PID1008,118,81,76,1.6
W002_009,PID1009,twenty,80,57,1.8
W002_010,PID1010,131,95,90,1.5
W002_011,PID1011,-98,65,95,1.6
W002_012,PID1012,one hundred,33,86,1.3
W002_013,PID1013,73,53,41,1.8
W002_014,PID1014,97,98,66,1.5
W002_015,PID1015,51,78,42,1.2
W002_016,PID1016,78,26,40,1.9
W002_017,PID1017,124,51,67,1.9
W002_018,PID1018,56,20,40,1.4
W002_019,PID1019,89,66,63,1.4
W002_020,PID1020,21,32,16,1.3
W002_021,PID1021,134,77,92,1.5
W002_022,PID1022,,41,92,1.3
W002_023,PID1023,-71,43,45,1.8
W002_024,PID1024,170,61,95,1.8
W002_025,PID1025,-35,63,93,1.3
W002_026,PID1026,26,30,21,1.2
W002_027,PID1027,49,24,25,2.0
W002_028,PID1028,127,65,86,1.5
W002_029,PID1029,100,59,79,1.3
W002_030,PID1030,87,89,52,1.7
W002_031,PID1031,112,99,87,1.3
W002_032,PID1032,54,63,36,1.5
W002_033,PID1033,155,95,99,1.6
W002_034,PID1034,fifteen,75,98,2.0
W002_035,PID1035,117,97,79,1.5
W002_036,PID1036,19,62,13,1.5
W002_037,PID1037,90,100,70,1.3
W002_038,PID1038,57,81,43,1.3
W002_039,PID1039,27,22,14,1.9
W002_040,PID1040,61,97,38,1.6
W002_041,PID1041,twenty,45,47,1.7
W002_042,PID1042,77,72,64,1.2
W002_043,PID1043,115,88,59,1.9
W002_044,PID1044,48,35,28,1.7
W002_045,PID1045,162,23,100,1.6
W002_046,PID1046,74,74,46,1.6
W002_047,PID1047,84,60,45,1.9
W002_048,PID1048,28,39,17,1.6
W002_049,PID1049,161,79,84,1.9
W002_050,PID1050,25,67,17,1.5
W002_051,PID1051,190,80,100,1.9
W002_052,PID1052,92,93,77,1.2
W002_053,PID1053,67,82,47,1.4
W002_054,PID1054,167,54,89,1.9
W002_055,PID1055,24,61,18,1.3
W002_056,PID1056,65,76,33,2.0
W002_057,PID1057,17,61,10,1.7
W002_058,PID1058,zero,73,71,1.9
W002_059,PID1059,85,40,60,1.4
W002_060,PID1060,112,47,91,1.2
W002_061,PID1061,,47,98,1.2
W002_062,PID1062,59,59,39,1.5
W002_063,PID1063,32,69,22,1.5
W002_064,PID1064,113,59,68,1.7
W002_065,PID1065,33,58,18,1.8
W002_066,PID1066,41,26,34,1.2
W002_067,PID1067,15,83,12,1.2
W002_068,PID1068,72,24,58,1.2
W002_069,PID1069,81,76,49,1.7
W002_070,PID1070,75,79,58,1.3
W002_071,PID1071,,37,37,1.2
W002_072,PID1072,73,81,52,1.4
W002_073,PID1073,41,75,21,2.0
W002_074,PID1074,114,93,76,1.5
W002_075,PID1075,166,79,96,1.7
W002_076,PID1076,64,65,52,1.2
W002_077,PID1077,140,42,74,1.9
W002_078,PID1078,35,47,24,1.5
W002_079,PID1079,146,37,92,1.6
W002_080,PID1080,102,78,75,1.4
W002_081,PID1081,35,86,19,1.8
W002_082,PID1082,29,30,23,1.3
W002_083,PID1083,66,81,37,1.8
W002_084,PID1084,zero,25,22,1.2
W002_085,PID1085,19,30,14,1.4
W002_086,PID1086,37,74,23,1.6
W002_087,PID1087,fifteen,64,76,1.7
W002_088,PID1088,65,71,43,1.5
W002_089,PID1089,116,46,74,1.6
W002_090,PID1090,83,51,58,1.4
W002_091,PID1091,98,83,53,1.8
W002_092,PID1092,84,25,61,1.4
W002_093,PID1093,41,75,22,1.9
W002_094,PID1094,127,90,71,1.8
W002_095,PID1095,122,48,65,1.9
W002_096,PID1096,40,53,32,1.2
W002_097,PID1097,116,98,93,1.2
W002_098,PID1098,108,69,78,1.4
W002_099,PID1099,-14,96,78,1.4
W003_000,PID1000,35,74,27,1.3
W003_001,PID1001,130,34,74,1.8
W003_002,PID1002,68,78,56,1.2
W003_003,PID1003,21,59,11,1.9
W003_004,PID1004,33,93,18,1.8
W003_005,PID1005,18,21,12,1.5
W003_006,PID1006,66,30,40,1.6
W003_007,PID1007,fifty,41,14,1.4
W003_008,PID1008,47,53,30,1.6
W003_009,PID1009,43,75,33,1.3
W003_010,PID1010,182,52,94,1.9
W003_011,PID1011,-100,84,15,1.3
W003_012,PID1012,88,88,47,1.9
W003_013,PID1013,85,64,46,1.8
W003_014,PID1014,124,27,94,1.3
W003_015,PID1015,151,86,88,1.7
W003_016,PID1016,53,38,32,1.7
W003_017,PID1017,-13,95,33,1.9
W003_018,PID1018,166,94,91,1.8
W003_019,PID1019,127,21,72,1.8
W003_020,PID1020,97,27,62,1.6
W003_021,PID1021,145,91,97,1.5
W003_022,PID1022,130,99,80,1.6
W003_023,PID1023,,36,58,1.9
W003_024,PID1024,24,30,16,1.5
W003_025,PID1025,33,71,18,1.8
W003_026,PID1026,,70,60,1.7
W003_027,PID1027,,62,58,1.8
W003_028,PID1028,45,64,31,1.5
W003_029,PID1029,124,81,87,1.4
W003_030,PID1030,127,99,97,1.3
W003_031,PID1031,69,68,50,1.4
W003_032,PID1032,41,34,23,1.8
W003_033,PID1033,141,27,75,1.9
W003_034,PID1034,20,84,11,1.8
W003_035,PID1035,twenty,92,86,1.2
W003_036,PID1036,99,80,71,1.4
W003_037,PID1037,147,47,75,2.0
W003_038,PID1038,95,59,49,1.9
W003_039,PID1039,25,75,15,1.7
W003_040,PID1040,43,30,26,1.7
W003_041,PID1041,fifteen,64,47,1.3
W003_042,PID1042,119,67,68,1.8
W003_043,PID1043,,47,73,1.5
W003_044,PID1044,39,85,26,1.5
W003_045,PID1045,104,78,81,1.3
W003_046,PID1046,93,65,72,1.3
W003_047,PID1047,ten,87,40,1.8
W003_048,PID1048,28,34,21,1.3
W003_049,PID1049,32,68,22,1.5
W003_050,PID1050,-32,33,36,1.4
W003_051,PID1051,148,88,82,1.8
W003_052,PID1052,71,99,57,1.2
W003_053,PID1053,72,44,39,1.8
W003_054,PID1054,132,76,90,1.5
W003_055,PID1055,100,23,82,1.2
W003_056,PID1056,166,38,85,2.0
W003_057,PID1057,fifteen,69,24,1.8
W003_058,PID1058,76,96,42,1.8
W003_059,PID1059,107,58,58,1.8
W003_060,PID1060,-88,60,20,1.9
W003_061,PID1061,twenty,90,85,1.4
W003_062,PID1062,163,48,97,1.7
W003_063,PID1063,-31,28,61,1.8
W003_064,PID1064,-85,34,80,1.8
W003_065,PID1065,146,63,74,2.0
W003_066,PID1066,39,59,25,1.6
W003_067,PID1067,146,26,85,1.7
W003_068,PID1068,-87,28,51,1.6
W003_069,PID1069,62,63,42,1.5
W003_070,PID1070,15,33,11,1.4
W003_071,PID1071,twenty,40,33,1.5
W003_072,PID1072,ten,59,45,1.6
W003_073,PID1073,23,88,12,1.9
W003_074,PID1074,30,22,17,1.8
W003_075,PID1075,63,43,43,1.5
W003_076,PID1076,26,81,16,1.6
W003_077,PID1077,147,85,99,1.5
W003_078,PID1078,95,44,67,1.4
W003_079,PID1079,132,78,81,1.6
W003_080,PID1080,100,77,56,1.8
W003_081,PID1081,131,67,82,1.6
W003_082,PID1082,ten,46,43,1.6
W003_083,PID1083,68,88,40,1.7
W003_084,PID1084,120,24,77,1.6
W003_085,PID1085,128,88,80,1.6
W003_086,PID1086,146,82,99,1.5
W003_087,PID1087,125,39,79,1.6
W003_088,PID1088,,83,13,1.4
W003_089,PID1089,ten,41,50,1.3
W003_090,PID1090,23,28,17,1.4
W003_091,PID1091,184,87,97,1.9
W003_092,PID1092,fifteen,31,37,1.8
W003_093,PID1093,152,27,82,1.9
W003_094,PID1094,-26,46,66,1.5
W003_095,PID1095,ten,65,56,1.3
W003_096,PID1096,128,54,88,1.5
W003_097,PID1097,101,20,80,1.3
W003_098,PID1098,54,64,36,1.5
W003_099,PID1099,132,79,94,1.4
W004_000,PID1000,53,53,36,1.5
W004_001,PID1001,166,43,94,1.8
W004_002,PID1002,,79,17,1.9
W004_003,PID1003,114,24,93,1.2
W004_004,PID1004,89,71,51,1.7
W004_005,PID1005,88,33,51,1.7
W004_006,PID1006,57,56,32,1.8
W004_007,PID1007,78,66,51,1.5
W004_008,PID1008,19,96,16,1.2
W004_009,PID1009,109,32,71,1.5
W004_010,PID1010,,31,20,1.8
W004_011,PID1011,56,26,35,1.6
W004_012,PID1012,41,84,25,1.6
W004_013,PID1013,57,34,46,1.2
W004_014,PID1014,55,53,43,1.3
W004_015,PID1015,-47,26,30,1.9
W004_016,PID1016,32,81,27,1.2
W004_017,PID1017,109,31,66,1.7
W004_018,PID1018,,41,72,1.4
W004_019,PID1019,47,69,26,1.8
W004_020,PID1020,22,84,15,1.5
W004_021,PID1021,161,37,81,2.0
W004_022,PID1022,116,81,88,1.3
W004_023,PID1023,23,78,19,1.2
W004_024,PID1024,63,23,41,1.5
W004_025,PID1025,92,21,62,1.5
W004_026,PID1026,-81,40,31,1.9
W004_027,PID1027,112,26,63,1.8
W004_028,PID1028,twenty,28,18,1.6
W004_029,PID1029,,41,47,1.4
W004_030,PID1030,112,37,79,1.4
W004_031,PID1031,-42,22,80,1.7
W004_032,PID1032,16,30,12,1.3
W004_033,PID1033,one hundred,99,83,1.7
W004_034,PID1034,35,100,28,1.2
W004_035,PID1035,139,61,82,1.7
W004_036,PID1036,44,46,25,1.8
W004_037,PID1037,,66,52,1.8
W004_038,PID1038,41,73,29,1.4
W004_039,PID1039,41,96,26,1.6
W004_040,PID1040,74,55,38,1.9
W004_041,PID1041,112,85,77,1.5
W004_042,PID1042,150,71,84,1.8
W004_043,PID1043,176,36,100,1.8
W004_044,PID1044,fifty,84,91,1.5
W004_045,PID1045,130,40,88,1.5
W004_046,PID1046,36,41,20,1.8
W004_047,PID1047,-6,84,80,1.2
W004_048,PID1048,ten,49,96,1.3
W004_049,PID1049,55,96,40,1.4
W004_050,PID1050,76,85,61,1.2
W004_051,PID1051,32,62,25,1.3
W004_052,PID1052,35,45,22,1.6
W004_053,PID1053,124,56,97,1.3
W004_054,PID1054,zero,91,55,1.5
W004_055,PID1055,69,49,57,1.2
W004_056,PID1056,71,100,52,1.4
W004_057,PID1057,57,24,37,1.5
W004_058,PID1058,130,70,88,1.5
W004_059,PID1059,125,57,78,1.6
W004_060,PID1060,27,88,21,1.3
W004_061,PID1061,125,75,71,1.8
W004_062,PID1062,fifteen,96,14,1.7
W004_063,PID1063,71,67,41,1.7
W004_064,PID1064,126,26,84,1.5
W004_065,PID1065,zero,80,23,1.6
W004_066,PID1066,84,29,52,1.6
W004_067,PID1067,23,84,13,1.8
W004_068,PID1068,124,87,92,1.3
W004_069,PID1069,80,66,53,1.5
W004_070,PID1070,176,20,100,1.8
W004_071,PID1071,107,21,65,1.6
W004_072,PID1072,83,97,62,1.3
W004_073,PID1073,-26,26,26,1.8
W004_074,PID1074,45,24,25,1.8
W004_075,PID1075,100,71,83,1.2
W004_076,PID1076,89,72,57,1.6
W004_077,PID1077,74,81,41,1.8
W004_078,PID1078,57,35,36,1.6
W004_079,PID1079,fifty,96,88,1.5
W004_080,PID1080,76,42,57,1.3
W004_081,PID1081,zero,68,60,1.9
W004_082,PID1082,twenty,70,69,1.2
W004_083,PID1083,21,84,18,1.2
W004_084,PID1084,19,21,14,1.4
W004_085,PID1085,25,31,19,1.3
W004_086,PID1086,89,84,74,1.2
W004_087,PID1087,39,61,25,1.6
W004_088,PID1088,98,77,73,1.3
W004_089,PID1089,50,46,27,1.9
W004_090,PID1090,37,47,22,1.7
W004_091,PID1091,25,67,15,1.7
W004_092,PID1092,120,49,79,1.5
W004_093,PID1093,113,66,85,1.3
W004_094,PID1094,fifteen,66,32,1.6
W004_095,PID1095,one hundred,30,46,1.9
W004_096,PID1096,112,38,82,1.4
W004_097,PID1097,105,72,80,1.3
W004_098,PID1098,fifteen,70,36,1.4
W004_099,PID1099,51,41,36,1.4
W005_000,PID1000,48,90,28,1.7
W005_001,PID1001,68,28,42,1.6
W005_002,PID1002,90,58,70,1.3
W005_003,PID1003,fifty,84,45,1.4
W005_004,PID1004,84,27,61,1.4
W005_005,PID1005,123,37,79,1.6
W005_006,PID1006,52,66,31,1.7
W005_007,PID1007,-37,70,88,1.8
W005_008,PID1008,94,93,53,1.8
W005_009,PID1009,99,91,76,1.3
W005_010,PID1010,one hundred,94,17,1.6
W005_011,PID1011,98,74,59,1.7
W005_012,PID1012,103,21,55,1.9
W005_013,PID1013,115,97,68,1.7
W005_014,PID1014,153,51,77,2.0
W005_015,PID1015,84,95,50,1.7
W005_016,PID1016,100,60,56,1.8
W005_017,PID1017,-73,82,86,1.9
W005_018,PID1018,54,96,37,1.5
W005_019,PID1019,39,27,31,1.3
W005_020,PID1020,15,20,10,1.5
W005_021,PID1021,67,36,34,2.0
W005_022,PID1022,-77,76,84,1.4
W005_023,PID1023,34,80,25,1.4
W005_024,PID1024,99,50,50,2.0
W005_025,PID1025,fifty,31,91,1.4
W005_026,PID1026,ten,25,77,1.9
W005_027,PID1027,-60,80,62,1.8
W005_028,PID1028,31,54,26,1.2
W005_029,PID1029,79,76,52,1.5
W005_030,PID1030,one hundred,23,92,1.8
W005_031,PID1031,56,88,38,1.5
W005_032,PID1032,74,43,57,1.3
W005_033,PID1033,68,83,41,1.7
W005_034,PID1034,116,73,87,1.3
W005_035,PID1035,zero,50,94,1.9
W005_036,PID1036,74,88,52,1.4
W005_037,PID1037,44,93,28,1.6
W005_038,PID1038,-81,92,36,2.0
W005_039,PID1039,23,48,16,1.4
W005_040,PID1040,ten,95,95,1.9
W005_041,PID1041,25,52,16,1.6
W005_042,PID1042,16,47,10,1.6
W005_043,PID1043,-57,87,11,1.8
W005_044,PID1044,fifty,50,64,1.3
W005_045,PID1045,45,95,29,1.6
W005_046,PID1046,76,31,44,1.7
W005_047,PID1047,134,25,69,1.9
W005_048,PID1048,90,35,47,1.9
W005_049,PID1049,94,67,61,1.5
W005_050,PID1050,53,35,34,1.6
W005_051,PID1051,-19,43,14,1.4
W005_052,PID1052,zero,69,63,1.2
W005_053,PID1053,142,89,81,1.8
W005_054,PID1054,,41,57,1.2
W005_055,PID1055,-46,39,33,1.5
W005_056,PID1056,ten,81,65,1.6
W005_057,PID1057,24,31,17,1.4
W005_058,PID1058,134,54,86,1.6
W005_059,PID1059,19,24,11,1.7
W005_060,PID1060,18,46,10,1.8
W005_061,PID1061,111,23,82,1.4
W005_062,PID1062,175,69,94,1.9
W005_063,PID1063,45,100,29,1.6
W005_064,PID1064,88,72,59,1.5
W005_065,PID1065,fifteen,38,20,1.6
W005_066,PID1066,46,42,26,1.8
W005_067,PID1067,35,64,20,1.8
W005_068,PID1068,136,24,94,1.4
W005_069,PID1069,55,60,33,1.7
W005_070,PID1070,82,51,42,2.0
W005_071,PID1071,158,76,93,1.7
W005_072,PID1072,99,45,66,1.5
W005_073,PID1073,41,45,26,1.6
W005_074,PID1074,132,36,72,1.8
W005_075,PID1075,ten,76,19,1.8
W005_076,PID1076,29,30,17,1.7
W005_077,PID1077,zero,59,46,1.8
W005_078,PID1078,161,66,89,1.8
W005_079,PID1079,87,35,55,1.6
W005_080,PID1080,137,95,76,1.8
W005_081,PID1081,31,59,19,1.6
W005_082,PID1082,100,70,60,1.7
W005_083,PID1083,153,73,100,1.5
W005_084,PID1084,-86,52,48,1.8
W005_085,PID1085,114,59,80,1.4
W005_086,PID1086,zero,84,64,1.9
W005_087,PID1087,68,60,42,1.6
W005_088,PID1088,84,45,61,1.4
W005_089,PID1089,142,42,76,1.9
W005_090,PID1090,140,27,86,1.6
W005_091,PID1091,47,80,33,1.4
W005_092,PID1092,107,80,80,1.3
W005_093,PID1093,98,35,54,1.8
W005_094,PID1094,159,94,93,1.7
W005_095,PID1095,100,53,59,1.7
W005_096,PID1096,128,47,98,1.3
W005_097,PID1097,39,41,26,1.5
W005_098,PID1098,73,68,49,1.5
W005_099,PID1099,fifty,84,67,1.5
W006_000,PID1000,73,93,42,1.7
W006_001,PID1001,22,40,12,1.8
W006_002,PID1002,105,25,79,1.3
W006_003,PID1003,55,40,33,1.7
W006_004,PID1004,111,75,92,1.2
W006_005,PID1005,41,100,22,1.9
W006_006,PID1006,112,94,62,1.8
W006_007,PID1007,128,69,94,1.4
W006_008,PID1008,31,27,17,1.8
W006_009,PID1009,81,86,64,1.3
W006_010,PID1010,73,30,56,1.3
W006_011,PID1011,23,71,17,1.4
W006_012,PID1012,119,79,77,1.5
W006_013,PID1013,18,91,13,1.4
W006_014,PID1014,20,30,13,1.5
W006_015,PID1015,-19,35,96,1.4
W006_016,PID1016,171,91,91,1.9
W006_017,PID1017,152,25,92,1.7
W006_018,PID1018,79,72,44,1.8
W006_019,PID1019,one hundred,37,15,1.9
W006_020,PID1020,-36,75,27,1.8
W006_021,PID1021,161,100,96,1.7
W006_022,PID1022,-76,99,96,1.2
W006_023,PID1023,,92,66,1.8
W006_024,PID1024,78,89,58,1.3
W006_025,PID1025,95,65,75,1.3
W006_026,PID1026,one hundred,64,89,1.9
W006_027,PID1027,136,95,96,1.4
W006_028,PID1028,128,99,72,1.8
W006_029,PID1029,121,72,77,1.6
W006_030,PID1030,53,90,39,1.4
W006_031,PID1031,170,56,89,1.9
W006_032,PID1032,72,62,55,1.3
W006_033,PID1033,151,36,91,1.7
W006_034,PID1034,-44,27,87,1.8
W006_035,PID1035,102,92,54,1.9
W006_036,PID1036,133,59,92,1.4
W006_037,PID1037,105,46,84,1.2
W006_038,PID1038,48,55,25,1.9
W006_039,PID1039,83,97,44,1.9
W006_040,PID1040,101,99,51,2.0
W006_041,PID1041,-52,82,74,1.3
W006_042,PID1042,128,30,89,1.4
W006_043,PID1043,166,38,95,1.7
W006_044,PID1044,43,49,31,1.4
W006_045,PID1045,74,42,48,1.5
W006_046,PID1046,ten,46,16,1.2
W006_047,PID1047,one hundred,66,58,1.7
W006_048,PID1048,75,29,52,1.4
W006_049,PID1049,85,48,49,1.7
W006_050,PID1050,103,38,58,1.8
W006_051,PID1051,161,79,88,1.8
W006_052,PID1052,104,50,63,1.7
W006_053,PID1053,63,68,41,1.5
W006_054,PID1054,twenty,46,51,1.9
W006_055,PID1055,15,63,12,1.2
W006_056,PID1056,-49,88,72,1.8
W006_057,PID1057,85,23,64,1.3
W006_058,PID1058,-34,73,40,1.7
W006_059,PID1059,22,21,12,1.8
W006_060,PID1060,-56,44,44,1.4
W006_061,PID1061,fifty,24,85,1.3
W006_062,PID1062,190,81,99,1.9
W006_063,PID1063,38,96,20,1.9
W006_064,PID1064,56,74,30,1.9
W006_065,PID1065,-3,96,40,1.2
W006_066,PID1066,87,21,63,1.4
W006_067,PID1067,120,23,78,1.5
W006_068,PID1068,-73,44,67,1.5
W006_069,PID1069,176,54,98,1.8
W006_070,PID1070,143,93,87,1.6
W006_071,PID1071,90,50,72,1.2
W006_072,PID1072,178,36,91,2.0
W006_073,PID1073,19,92,13,1.5
W006_074,PID1074,-36,68,19,1.5
W006_075,PID1075,116,78,95,1.2
W006_076,PID1076,53,84,34,1.6
W006_077,PID1077,131,21,88,1.5
W006_078,PID1078,37,60,19,1.9
W006_079,PID1079,134,68,93,1.4
W006_080,PID1080,54,88,33,1.6
W006_081,PID1081,136,35,76,1.8
W006_082,PID1082,,70,15,1.7
W006_083,PID1083,40,89,28,1.4
W006_084,PID1084,101,27,60,1.7
W006_085,PID1085,123,33,89,1.4
